"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst"
"r01c01f03p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p02-ch2sk1fk1fl1","02"
"r01c01f03p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p03-ch2sk1fk1fl1","03"
"r01c01f03p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p04-ch2sk1fk1fl1","04"
"r01c01f03p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p05-ch2sk1fk1fl1","05"
"r01c01f03p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p06-ch2sk1fk1fl1","06"
"r01c01f03p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p07-ch2sk1fk1fl1","07"
"r01c01f03p08-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p08-ch2sk1fk1fl1","08"
"r01c01f03p09-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p09-ch2sk1fk1fl1","09"
"r01c01f03p10-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p10-ch2sk1fk1fl1","10"
"r01c01f03p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p11-ch2sk1fk1fl1","11"
"r01c01f03p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p12-ch2sk1fk1fl1","12"
"r01c01f03p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p13-ch2sk1fk1fl1","13"
"r01c01f03p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p14-ch2sk1fk1fl1","14"
"r01c01f03p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p15-ch2sk1fk1fl1","15"
"r01c01f03p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p16-ch2sk1fk1fl1","16"
"r01c01f04p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f04p01-ch2sk1fk1fl1","01"
"r01c01f04p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f04p02-ch2sk1fk1fl1","02"
"r01c01f04p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f04p03-ch2sk1fk1fl1","03"
"r01c01f04p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f04p04-ch2sk1fk1fl1","04"
"r01c01f04p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f04p05-ch2sk1fk1fl1","05"
"r01c01f04p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f04p06-ch2sk1fk1fl1","06"
